hotel_name,avg_sentiment,food_score,service_score,staff_score,cleanliness_score,ambiance_score,value_score,room_score,amenities_score,Overall Sentiment,Food Sentiment,Service Sentiment,Staff Sentiment,Cleanliness Sentiment,Ambiance Sentiment,Value Sentiment,Room Sentiment,Amenities Sentiment,Average Sentiment
ahwahnee hotel(california) ,0.1431193631741799,0.14711333333333332,0.048055757575757564,0.7596666666666666,0.11321874999999999,0.13052499999999995,0.30144791666666665,0.24479244897959182,0.7447,neutral,neutral,neutral,excellent,neutral,neutral,good,good,excellent,neutral
alaskan hotel and bar(alaskan),0.11588481598857236,0.28963333333333335,0.23222,0.25307,0.29392399999999996,0.56125,0.65905,0.4408958333333333,,neutral,good,good,good,good,excellent,excellent,good,bad,neutral
albergo del senato(rome) ,0.37051396188974123,0.33864999999999995,0.6090714285714285,0.78015,0.668875,0.5869,0.39043333333333335,0.43144375,0.2057,good,good,excellent,excellent,excellent,excellent,good,good,good,good
arizona biltmore hotel(arizona) (u.s.a.),0.22033505527063463,0.23877,0.48744476190476194,0.9364,0.2535,0.21280000000000002,0.61875,0.3576309523809524,0.4861088888888889,good,good,good,excellent,good,good,excellent,good,good,neutral
armani hotel (uae),0.33539668093906816,0.9091999999999999,0.506253125,0.8323499999999999,0.9022,0.6269,0.34401666666666664,0.7092125,0.48829999999999996,good,excellent,excellent,excellent,excellent,excellent,good,excellent,good,good
"atlantis the palm,(dubai) (dubai)",0.3504022632931298,0.4744275,0.4412816666666666,,0.3667833333333334,0.63385,0.6152500000000001,0.4312191666666667,0.13408333333333333,good,good,good,bad,good,excellent,excellent,good,neutral,good
best western queens hotel,0.26917723293863,0.412025,0.56178125,0.73195,0.75781,0.2911,0.17626666666666668,0.6056,-0.1027,good,good,excellent,excellent,excellent,good,neutral,excellent,bad,good
bulgari (uae),0.3667708491791004,0.7876285714285715,0.7299277777777777,0.6087,,0.6599,0.3528,0.45664,0.8734999999999999,good,excellent,excellent,excellent,bad,excellent,good,good,excellent,good
"burj al arab, dubai (uae)",0.4143094690073591,0.8528666666666668,0.419875,0.7906,0.8244666666666666,0.9433,0.5872666666666667,0.557088888888889,0.844525,good,excellent,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent
capella sydney (sydney) (australia),0.36218981189692057,0.4129222222222222,0.5229655555555556,0.9829,0.7151799999999999,0.5702666666666667,0.3891,0.681876,0.6499916666666666,good,good,excellent,excellent,excellent,excellent,good,excellent,excellent,good
carlton hotel(california) ,0.11400489993977389,0.194975,-0.02373750000000001,0.4628,-0.077,0.44225,0.5251250000000001,0.4521583333333334,0.8566,neutral,neutral,neutral,good,neutral,good,excellent,good,excellent,neutral
citizenm tower of london hotel(london),0.39101347066604425,0.6893333333333334,0.5217166666666666,0.5877749999999999,0.57944,,0.7050666666666666,0.670825,,good,excellent,excellent,excellent,excellent,bad,excellent,excellent,bad,good
como the treasury(perth)  (australia),0.342317445798096,0.72184,0.5772616666666666,0.6739,0.7456583333333333,,0.5974,0.5803880952380953,0.46413611111111114,good,excellent,excellent,excellent,excellent,bad,excellent,excellent,good,good
conrad pune (india),0.43598332363248327,0.5895333333333334,0.5084716666666667,0.4987,0.6871333333333333,,0.8126,0.5954142857142858,0.60955,good,excellent,excellent,good,excellent,bad,excellent,excellent,excellent,excellent
"crown plaza, kerala (india)",0.45907440476190475,0.45589999999999997,0.7139314814814814,0.66835,0.93635,,,0.65834375,0.48500000000000004,good,good,excellent,excellent,excellent,bad,bad,excellent,good,excellent
doubletree by hilton (melbourne) (australia),0.24379575524302086,0.49476666666666663,0.46233583333333333,0.7532,0.2912,0.3671166666666667,0.5161,0.593238888888889,0.436,good,good,good,excellent,good,good,excellent,excellent,good,neutral
emporium hotel south bank(brisbane) ,0.48362239992150713,0.4479166666666667,0.6062305555555555,0.757575,0.7964,0.75375,0.36755,0.606475,0.6054333333333334,good,good,excellent,excellent,excellent,excellent,good,excellent,excellent,excellent
eos by skycity( adelaide) ,0.40925325396825396,0.44521999999999995,0.5424675,0.8102999999999999,0.45758124999999994,0.8481,0.6993999999999999,0.608152380952381,0.58572,good,good,excellent,excellent,good,excellent,excellent,excellent,excellent,excellent
four seasons  (india ),0.3680804179717223,0.4780748051948052,0.520384375,0.64465,0.5001333333333333,0.34,0.6822666666666667,0.5384055555555555,0.25083333333333335,good,good,excellent,excellent,excellent,good,excellent,excellent,good,good
four seasons (mauritius),0.2561118662148279,0.5100916666666667,0.37449642857142856,0.75245,0.505625,0.43375,0.49799999999999994,0.4143547619047619,0.6611472222222222,good,excellent,good,excellent,excellent,good,good,good,excellent,good
hennessy park hotel(ebene) (germany),0.43469246031746034,0.7022071428571428,0.4995095238095238,0.7380333333333332,0.4588,0.69727,0.6046666666666667,0.8834,0.21005,good,excellent,good,excellent,good,excellent,excellent,excellent,good,excellent
hilton  (india),0.44296980095770416,0.5431166666666667,0.6453074074074074,0.5145666666666667,0.6284666666666666,0.6258833333333333,0.6491125,0.7246535714285713,0.6269666666666667,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
